carat,cut,color,clarity,price
0.73,Ideal,E,SI1,2803.0
0.7,Good,G,VS1,2803.0
0.71,Premium,F,VS2,2803.0
0.71,Premium,F,VS2,2803.0
0.71,Premium,G,VS1,2803.0
0.77,Premium,G,VS2,2803.0
0.71,Premium,G,VS2,2803.0
0.78,,G,VS2,2803.0
0.71,Very Good,G,VS1,2803.0
0.91,Ideal,D,SI2,2803.0
0.71,Very Good,E,VS2,2804.0
0.71,Very Good,E,VS2,2804.0
0.8,Very Good,E,SI2,2804.0
0.7,Very Good,D,SI1,2804.0
0.72,Ideal,F,VS1,2804.0
0.72,Very Good,F,VS1,2804.0
0.82,Ideal,H,,2804.0
0.7,,D,SI1,2804.0
0.72,Ideal,,SI1,2804.0
0.72,Ideal,D,SI1,2804.0
0.9,Fair,I,SI1,2804.0
0.74,Premium,F,VS2,2805.0
0.74,Premium,F,VS2,2805.0
0.73,Ideal,E,SI2,2805.0
,Fair,E,VVS1,2805.0
0.73,Premium,F,VS2,2805.0
0.82,Good,G,VS2,2805.0
0.81,Very Good,G,SI1,2806.0
0.75,Very Good,H,,2806.0
0.7,Ideal,F,SI1,2806.0
0.71,Very Good,F,VS1,2807.0
0.71,,F,VS1,2807.0
0.93,Premium,J,SI2,2807.0
0.8,Very Good,H,VS2,2808.0
0.7,Very Good,F,VS1,2808.0
1.0,Fair,G,I1,2808.0
0.75,Very Good,G,VS2,2808.0
0.58,Ideal,E,VVS2,2808.0
0.73,Very Good,D,SI1,2808.0
0.81,,F,SI1,2809.0
0.81,Premium,D,SI2,2809.0
0.71,Premium,F,SI1,2809.0
1.2,Fair,F,I1,2809.0
0.7,,F,VS1,2810.0
0.7,Very Good,F,VS1,2810.0
0.74,Ideal,D,SI2,2810.0
0.7,,F,,2810.0
0.8,Good,G,SI1,2810.0
0.75,Very Good,F,SI1,2811.0
0.83,Very Good,D,SI1,2811.0
1.0,,J,VS2,2811.0
0.99,Fair,I,SI2,2811.0
0.7,Very Good,G,VS1,2812.0
0.7,Very Good,F,VS2,2812.0
0.7,Good,E,SI1,2812.0
0.7,Very Good,F,VS2,2812.0
0.32,Premium,I,SI1,554.0
0.32,Premium,I,SI1,554.0
0.32,Ideal,I,SI1,554.0
,Very Good,I,SI1,554.0
0.32,Ideal,I,SI1,554.0
0.3,Premium,H,SI1,554.0
0.3,Premium,H,SI1,554.0
0.3,Premium,H,SI1,554.0
0.3,Very Good,H,SI1,554.0
0.3,Good,H,SI1,554.0
0.3,Ideal,H,SI1,554.0
,Very Good,H,SI1,554.0
0.32,Good,I,,554.0
0.33,Ideal,H,SI2,554.0
0.29,Very Good,E,VS1,555.0
0.29,Very Good,E,VS1,555.0
0.31,Very Good,F,SI1,555.0
0.34,Ideal,H,VS2,555.0
0.34,Ideal,H,VS2,555.0
0.34,Ideal,I,VS1,555.0
0.34,Ideal,I,VS1,555.0
0.3,Ideal,G,VS1,555.0
0.29,Ideal,F,VS1,555.0
0.35,Ideal,G,SI1,555.0
0.43,Very Good,E,I1,555.0
,Very Good,F,VS2,556.0
0.36,Ideal,I,VS2,556.0
0.3,Ideal,G,VS2,556.0
0.26,Ideal,E,VS1,556.0
0.7,Very Good,F,VS2,2812.0
0.7,Very Good,F,VS2,2812.0
0.71,Ideal,D,SI1,2812.0
0.99,Fair,J,SI1,2812.0
0.73,Premium,E,VS2,2812.0
0.51,Ideal,F,VVS1,2812.0
0.91,,G,SI2,2813.0
0.84,Very Good,E,SI1,2813.0
0.91,Good,I,VS2,2813.0
0.76,Premium,E,SI1,2814.0
0.76,Ideal,E,SI1,2814.0
0.75,Premium,E,SI1,2814.0
0.55,Very Good,D,VVS1,2815.0
0.76,Very Good,F,SI2,2815.0
0.74,Premium,G,VS1,2815.0
0.7,Ideal,H,SI1,2815.0
0.7,Ideal,,SI1,2815.0
0.7,Ideal,H,SI1,2815.0
0.7,Ideal,H,SI1,2815.0
0.9,Fair,J,VS2,2815.0
0.95,Fair,F,,2815.0
0.89,Premium,H,SI2,2815.0
0.72,Premium,,VS2,2815.0
0.96,Fair,E,SI2,2815.0
0.78,Very Good,I,VVS2,2816.0
0.61,,G,VVS2,2816.0
0.71,Good,D,VS1,2816.0
0.78,,F,SI1,2816.0
0.87,Ideal,H,SI2,2816.0
0.83,Ideal,H,SI1,2816.0
0.71,Premium,E,SI1,2817.0
0.71,Ideal,I,VVS2,2817.0
0.71,Ideal,E,VS2,2817.0
0.71,Premium,E,VS2,2817.0
0.63,Ideal,F,VVS2,2817.0
0.71,Premium,E,,2817.0
0.71,Premium,E,SI1,2817.0
,Premium,,SI1,2817.0
0.9,Ideal,J,VS2,2817.0
0.71,Good,E,SI1,2817.0
0.7,Premium,E,VS2,2818.0
0.7,Premium,E,VS2,2818.0
0.7,Premium,E,VS2,2818.0
1.0,Premium,,I1,2818.0
0.86,Premium,F,SI2,2818.0
0.8,Ideal,H,SI1,2818.0
0.7,Ideal,E,VS1,2818.0
0.7,Premium,F,VS2,2818.0
0.7,Premium,E,VS1,2818.0
,Fair,H,SI2,2818.0
,Very Good,G,VS1,2819.0
0.72,Ideal,H,VS1,2819.0
0.7,Good,F,VS1,2819.0
0.86,Good,F,SI2,2819.0
0.71,Ideal,G,VS1,2820.0
0.75,Ideal,E,SI1,2821.0
0.73,Premium,,VS2,2821.0
0.53,Ideal,E,VVS1,2821.0
0.73,Premium,E,SI1,2821.0
0.73,Good,E,,2821.0
0.73,Premium,,,2821.0
0.73,,E,SI1,2821.0
0.73,Premium,D,SI1,2821.0
0.73,Very Good,E,SI1,2821.0
0.7,Premium,E,VS1,2822.0
0.72,Premium,E,VS2,2822.0
0.72,Premium,E,VS2,2822.0
0.72,Premium,E,VS2,2822.0
0.7,Premium,E,VS2,2822.0
0.6,Ideal,F,VVS2,2822.0
0.74,Ideal,,VVS1,2822.0
0.73,Ideal,F,SI1,2822.0
0.71,Premium,D,SI1,2822.0
0.71,Premium,D,SI1,2822.0
0.7,Premium,D,SI1,2822.0
0.7,Ideal,D,SI1,2822.0
0.9,Good,J,VS2,2822.0
0.71,Ideal,D,SI1,2822.0
0.7,Premium,E,VS2,2822.0
0.7,Premium,E,VS2,2822.0
0.7,,D,SI1,2822.0
0.7,Good,E,SI1,2822.0
0.7,Ideal,D,,2822.0
0.7,Ideal,D,,2822.0
0.7,Premium,E,VS2,2822.0
0.7,Premium,F,VS2,2822.0
0.7,Ideal,D,SI1,2822.0
0.79,Very Good,D,SI2,2823.0
0.9,Good,I,SI1,2823.0
0.71,Premium,E,VS2,2823.0
0.61,Ideal,E,VVS2,2823.0
0.9,Fair,H,SI2,2823.0
0.71,Ideal,E,SI1,2823.0
0.71,Premium,D,VS2,2824.0
0.77,Ideal,I,VVS2,2824.0
0.74,Good,E,VS1,2824.0
0.82,Ideal,F,SI2,2824.0
0.71,,G,VS1,2825.0
0.83,,H,SI1,2825.0
0.73,Very Good,G,VS1,2825.0
0.83,Premium,H,SI1,2825.0
1.17,Premium,J,I1,2825.0
0.91,Fair,,SI2,2825.0
0.73,Premium,E,VS1,2826.0
0.9,Premium,I,SI2,2826.0
0.7,Premium,E,VS1,2826.0
0.7,Very Good,D,VS2,2826.0
0.7,Premium,E,VS1,2826.0
0.9,Very Good,I,SI2,2826.0
0.78,Premium,F,SI1,2826.0
0.96,Ideal,F,I1,2826.0
0.7,Very Good,,SI1,2827.0
,Good,D,VS2,2827.0
0.79,Premium,,VVS2,2827.0
0.7,Ideal,H,VVS1,2827.0
0.7,Ideal,H,,2827.0
0.7,Ideal,D,,2828.0
0.8,Good,E,SI2,2829.0
0.59,Ideal,E,VVS1,2829.0
0.72,Ideal,F,VS1,2829.0
0.75,Premium,E,SI2,2829.0
0.8,Premium,E,SI2,2829.0
0.71,Very Good,E,VS2,2830.0
0.77,Very Good,H,SI1,2830.0
0.97,Ideal,F,I1,2830.0
0.53,,F,VVS1,2830.0
0.53,Ideal,F,VVS1,2830.0
0.8,Ideal,I,VS2,2830.0
0.9,,G,SI1,2830.0
,Very Good,E,SI2,2831.0
0.72,Ideal,E,SI1,2831.0
0.75,Ideal,E,SI1,2831.0
0.72,Premium,E,SI1,2831.0
0.79,Ideal,G,SI1,2831.0
0.72,Very Good,F,VS2,2832.0
0.91,Very Good,I,SI2,2832.0
0.71,Premium,,,2832.0
0.81,Premium,G,SI1,2832.0
0.71,Premium,F,VS1,2832.0
0.9,Good,,SI1,2832.0
0.8,Very Good,I,VS2,2833.0
0.56,Very Good,E,IF,2833.0
0.7,Very Good,D,VS2,2833.0
0.7,Ideal,,,2833.0
0.61,Ideal,F,VVS2,2833.0
0.85,Ideal,H,SI2,2833.0
0.7,Ideal,F,SI1,2833.0
0.8,Ideal,G,VS2,2834.0
0.8,Ideal,H,VS2,2834.0
0.51,Very Good,D,VVS1,2834.0
0.53,Ideal,F,VVS1,2834.0
0.9,Very Good,,SI1,2834.0
0.9,Fair,G,SI2,2834.0
0.77,,E,SI2,2834.0
0.73,Ideal,F,VS1,2835.0
0.63,Ideal,F,VVS2,2835.0
0.7,Ideal,E,VS2,2835.0
0.72,Ideal,E,VS2,2835.0
0.75,Premium,F,VS2,2835.0
0.82,Very Good,H,SI1,2836.0
0.71,Good,E,VS2,2836.0
0.7,Premium,E,VS1,2837.0
0.7,Ideal,E,VS1,2837.0
0.71,Ideal,F,SI1,2838.0
0.76,Very Good,H,SI1,2838.0
,Fair,,SI1,2838.0
0.72,Premium,F,VS1,2838.0
0.7,Premium,F,VS2,2838.0
0.7,Premium,F,VS2,2838.0
0.7,Premium,G,VS1,2838.0
0.7,Premium,F,VS2,2838.0
0.7,Very Good,,SI1,2838.0
0.7,Premium,F,VS2,2838.0
0.7,Premium,F,VS2,2838.0
0.7,Premium,G,VS1,2838.0
0.74,Very Good,E,SI1,2839.0
0.71,Ideal,F,VS1,2839.0
0.7,Ideal,F,VS1,2839.0
0.71,Ideal,F,VS1,2839.0
0.71,Premium,F,VS1,2839.0
0.71,Premium,F,VS1,2839.0
0.71,Premium,F,VS1,2839.0
0.7,Ideal,F,VS1,2839.0
0.73,,G,VS2,2839.0
0.7,Ideal,E,VS2,2839.0
0.7,Ideal,G,VS1,2839.0
0.71,Premium,G,VVS2,2839.0
0.71,Premium,,VS1,2839.0
0.79,Premium,G,VS2,2839.0
0.71,Premium,F,,2839.0
0.77,Very Good,H,VS1,2840.0
0.75,Very Good,,SI2,2840.0
0.7,Ideal,F,SI1,2840.0
0.71,Premium,,VS2,2840.0
0.92,Ideal,D,SI2,2840.0
0.83,Premium,F,SI2,2840.0
0.7,Premium,H,VVS1,2840.0
0.73,Premium,F,VS2,2841.0
0.71,Very Good,D,VS1,2841.0
0.73,Very Good,D,SI1,2841.0
0.82,Ideal,F,SI2,2841.0
0.82,Ideal,F,SI2,2841.0
0.82,,F,SI2,2841.0
0.52,Ideal,F,VVS1,2841.0
1.0,Premium,F,I1,2841.0
0.95,Fair,G,SI1,2841.0
0.73,Ideal,D,SI1,2841.0
0.73,Premium,F,VS2,2841.0
0.73,Premium,G,VS1,2841.0
0.8,Ideal,I,VS1,2842.0
0.7,Premium,F,VS2,2842.0
0.7,Very Good,E,VS2,2843.0
0.7,Very Good,E,VS2,2843.0
0.71,Very Good,,VS2,2843.0
0.81,Very Good,F,,2843.0
0.71,Very Good,D,SI1,2843.0
0.73,Ideal,G,VVS2,2843.0
0.73,Very Good,F,VS1,2843.0
0.72,Ideal,E,VS2,2843.0
0.81,Ideal,F,SI2,2843.0
0.71,Ideal,G,VVS2,2843.0
0.73,Very Good,E,SI1,2844.0
0.7,Very Good,E,,2844.0
1.01,Ideal,I,I1,2844.0
1.01,,I,I1,2844.0
0.79,Ideal,H,VS2,2844.0
0.7,Very Good,E,VS2,2845.0
0.7,Very Good,E,VS2,2845.0
0.8,Good,H,VS2,2845.0
1.27,Premium,H,SI2,2845.0
0.79,Ideal,D,SI1,2846.0
0.72,Very Good,F,VS1,2846.0
0.73,Ideal,H,,2846.0
1.01,Fair,,SI2,2846.0
1.01,Good,H,I1,2846.0
0.73,Ideal,E,SI1,2846.0
0.7,Ideal,E,SI1,2846.0
0.7,Good,F,VS2,2846.0
0.77,Premium,E,SI1,2846.0
0.77,Premium,G,VS2,2846.0
0.77,Premium,G,VS1,2846.0
0.84,Very Good,H,SI1,2847.0
0.72,Ideal,E,SI1,2847.0
0.76,Premium,D,SI1,2847.0
0.7,Very Good,G,VVS2,2848.0
0.54,Ideal,D,VVS2,2848.0
0.79,Good,E,,2849.0
0.74,Very Good,E,VS1,2849.0
0.7,Very Good,E,VS2,2850.0
0.7,Ideal,F,VS2,2850.0
1.2,Very Good,,I1,2850.0
0.66,Ideal,D,,2851.0
0.87,Very Good,F,SI2,2851.0
0.86,Premium,H,SI1,2851.0
0.74,Ideal,F,SI1,2851.0
0.58,Very Good,E,IF,2852.0
0.78,Ideal,I,VS1,2852.0
0.74,Ideal,G,SI1,2852.0
0.73,Ideal,E,SI1,2852.0
0.91,Very Good,I,SI1,2852.0
0.71,Premium,F,VS2,2853.0
,Good,G,VS1,2853.0
0.79,Ideal,D,SI2,2853.0
0.79,Premium,D,SI2,2853.0
0.71,Premium,E,,2853.0
0.82,Premium,I,VS1,2853.0
0.78,Very Good,H,VS1,2854.0
0.7,Very Good,E,,2854.0
1.12,Premium,H,I1,2854.0
0.73,Premium,E,VS2,2854.0
0.91,Fair,J,VS2,2854.0
0.91,Fair,J,VS2,2854.0
0.91,Good,J,VS2,2854.0
0.91,Fair,H,SI1,2854.0
0.7,Premium,E,VS1,2854.0
0.68,Premium,F,VVS2,2854.0
0.73,Very Good,F,VS2,2855.0
1.03,Good,J,SI1,2855.0
0.74,Premium,D,VS2,2855.0
0.98,Fair,E,SI2,2855.0
1.02,Fair,I,SI1,2856.0
1.0,Fair,G,SI2,2856.0
1.02,Ideal,H,SI2,2856.0
0.6,Ideal,F,VVS2,2856.0
0.8,Ideal,G,SI2,2856.0
0.97,Ideal,F,I1,2856.0
1.0,Fair,I,SI1,2856.0
0.26,Ideal,E,VS1,556.0
0.26,Ideal,E,VS1,556.0
0.36,Ideal,H,SI1,556.0
0.34,Good,G,VS2,556.0
0.34,Good,E,SI1,556.0
0.34,,E,SI1,556.0
0.34,Good,E,SI1,556.0
0.34,Very Good,,VS2,556.0
0.34,Ideal,E,SI1,556.0
0.32,Good,E,VS2,556.0
0.31,Ideal,I,VVS1,557.0
0.31,Ideal,I,,557.0
0.31,Ideal,I,,557.0
0.31,,I,VVS1,557.0
0.31,Ideal,I,VVS1,557.0
0.31,Ideal,G,VS2,557.0
0.31,Ideal,H,VS1,557.0
,Premium,G,SI2,557.0
0.33,Premium,F,SI2,557.0
0.33,Premium,G,SI2,557.0
,Ideal,G,SI2,557.0
0.33,Premium,F,SI2,557.0
0.33,Premium,J,VS1,557.0
0.33,Premium,J,VS1,557.0
0.33,Ideal,J,VS1,557.0
0.33,Ideal,I,SI1,557.0
0.33,Premium,I,SI1,557.0
1.0,Fair,H,SI2,2856.0
0.77,Premium,F,SI1,2856.0
0.77,Premium,F,SI1,2856.0
0.7,Good,E,VVS2,2857.0
0.9,Very Good,G,SI2,2857.0
0.72,Ideal,E,SI1,2857.0
0.9,Premium,,VS2,2857.0
0.72,Premium,E,SI1,2857.0
0.81,Very Good,F,SI1,2858.0
0.81,Very Good,F,SI1,2858.0
0.71,Premium,E,VS2,2858.0
0.7,Premium,E,VS2,2858.0
0.71,Premium,E,VS2,2858.0
0.71,Very Good,E,VS2,2858.0
0.92,Premium,J,SI1,2858.0
0.76,Ideal,E,SI1,2858.0
0.73,Ideal,D,SI1,2858.0
0.71,,D,VS2,2858.0
0.7,Good,E,VVS2,2858.0
0.9,Fair,G,SI2,2858.0
0.71,Fair,D,VS2,2858.0
0.7,Ideal,D,VS2,2859.0
0.7,Premium,D,VS2,2859.0
0.71,Ideal,G,VS1,2859.0
0.7,Premium,D,VS2,2859.0
0.75,Fair,F,VS1,2859.0
0.83,Premium,E,SI2,2859.0
0.71,Very Good,F,VS2,2860.0
0.9,Very Good,J,SI2,2860.0
